,Abbreviation,TeamId,GridPosition,Position,Time,Status,Race,TotalTime,Rain,Temp
505,HAM,mercedes,5.0,6.0,5608581000000.0,Finished,Azerbaijan Grand Prix,0 days 01:33:28.581000,0.0,
506,STR,aston_martin,9.0,7.0,5614053000000.0,Finished,Azerbaijan Grand Prix,0 days 01:33:34.053000,0.0,
507,RUS,mercedes,11.0,8.0,5636676000000.0,Finished,Azerbaijan Grand Prix,0 days 01:33:56.676000,0.0,
508,NOR,mclaren,7.0,9.0,5642812000000.0,Finished,Azerbaijan Grand Prix,0 days 01:34:02.812000,0.0,
509,TSU,rb,8.0,10.0,5646298000000.0,Finished,Azerbaijan Grand Prix,0 days 01:34:06.298000,0.0,
510,PIA,mclaren,10.0,11.0,5648937000000.0,Finished,Azerbaijan Grand Prix,0 days 01:34:08.937000,0.0,
511,ALB,williams,12.0,12.0,5651059000000.0,Finished,Azerbaijan Grand Prix,0 days 01:34:11.059000,0.0,
512,MAG,haas,16.0,13.0,5652165000000.0,Finished,Azerbaijan Grand Prix,0 days 01:34:12.165000,0.0,
513,GAS,alpine,17.0,14.0,5653768000000.0,Finished,Azerbaijan Grand Prix,0 days 01:34:13.768000,0.0,
514,OCO,alpine,19.0,15.0,5660230000000.0,Finished,Azerbaijan Grand Prix,0 days 01:34:20.230000,0.0,
515,SAR,williams,14.0,16.0,5663379000000.0,Finished,Azerbaijan Grand Prix,0 days 01:34:23.379000,0.0,
516,HUL,haas,20.0,17.0,5673316000000.0,Lapped,Azerbaijan Grand Prix,0 days 01:34:33.316000,0.0,
517,BOT,sauber,13.0,18.0,5682477000000.0,Lapped,Azerbaijan Grand Prix,0 days 01:34:42.477000,0.0,
518,ZHO,sauber,15.0,19.0,,Retired,Azerbaijan Grand Prix,,0.0,
519,DEV,rb,18.0,20.0,,Retired,Azerbaijan Grand Prix,,0.0,
520,VER,red_bull,9.0,1.0,5258241000000.0,Finished,Miami Grand Prix,0 days 01:27:38.241000,0.0,
521,PER,red_bull,1.0,2.0,5263625000000.0,Finished,Miami Grand Prix,0 days 01:27:43.625000,0.0,
522,ALO,aston_martin,2.0,3.0,5284546000000.0,Finished,Miami Grand Prix,0 days 01:28:04.546000,0.0,
523,RUS,mercedes,6.0,4.0,5291470000000.0,Finished,Miami Grand Prix,0 days 01:28:11.470000,0.0,
524,SAI,ferrari,3.0,5.0,5300752000000.0,Finished,Miami Grand Prix,0 days 01:28:20.752000,0.0,
525,HAM,mercedes,13.0,6.0,5309490000000.0,Finished,Miami Grand Prix,0 days 01:28:29.490000,0.0,
526,LEC,ferrari,7.0,7.0,5311229000000.0,Finished,Miami Grand Prix,0 days 01:28:31.229000,0.0,
527,GAS,alpine,5.0,8.0,5313911000000.0,Finished,Miami Grand Prix,0 days 01:28:33.911000,0.0,
528,OCO,alpine,8.0,9.0,5316364000000.0,Finished,Miami Grand Prix,0 days 01:28:36.364000,0.0,
529,MAG,haas,4.0,10.0,5321186000000.0,Finished,Miami Grand Prix,0 days 01:28:41.186000,0.0,
530,TSU,rb,17.0,11.0,5322550000000.0,Finished,Miami Grand Prix,0 days 01:28:42.550000,0.0,
531,STR,aston_martin,18.0,12.0,5322995000000.0,Finished,Miami Grand Prix,0 days 01:28:42.995000,0.0,
532,BOT,sauber,10.0,13.0,5329878000000.0,Finished,Miami Grand Prix,0 days 01:28:49.878000,0.0,
533,ALB,williams,11.0,14.0,5331102000000.0,Finished,Miami Grand Prix,0 days 01:28:51.102000,0.0,
534,HUL,haas,12.0,15.0,5333191000000.0,Finished,Miami Grand Prix,0 days 01:28:53.191000,0.0,
535,ZHO,sauber,14.0,16.0,5336681000000.0,Finished,Miami Grand Prix,0 days 01:28:56.681000,0.0,
536,NOR,mclaren,16.0,17.0,5345958000000.0,Finished,Miami Grand Prix,0 days 01:29:05.958000,0.0,
537,DEV,rb,15.0,18.0,5347190000000.0,Finished,Miami Grand Prix,0 days 01:29:07.190000,0.0,
538,PIA,mclaren,19.0,19.0,5367700000000.0,Lapped,Miami Grand Prix,0 days 01:29:27.700000,0.0,
539,SAR,williams,20.0,20.0,5381578000000.0,Lapped,Miami Grand Prix,0 days 01:29:41.578000,0.0,
540,VER,red_bull,1.0,1.0,6531980000000.0,Finished,Monaco Grand Prix,0 days 01:48:51.980000,0.1477272727272727,
541,ALO,aston_martin,2.0,2.0,6559901000000.0,Finished,Monaco Grand Prix,0 days 01:49:19.901000,0.1477272727272727,
542,OCO,alpine,3.0,3.0,6568970000000.0,Finished,Monaco Grand Prix,0 days 01:49:28.970000,0.1477272727272727,
543,HAM,mercedes,5.0,4.0,6571042000000.0,Finished,Monaco Grand Prix,0 days 01:49:31.042000,0.1477272727272727,
544,RUS,mercedes,8.0,5.0,6588264000000.0,Finished,Monaco Grand Prix,0 days 01:49:48.264000,0.1477272727272727,
545,LEC,ferrari,6.0,6.0,6593870000000.0,Finished,Monaco Grand Prix,0 days 01:49:53.870000,0.1477272727272727,
546,GAS,alpine,7.0,7.0,6594342000000.0,Finished,Monaco Grand Prix,0 days 01:49:54.342000,0.1477272727272727,
547,SAI,ferrari,4.0,8.0,6595371000000.0,Finished,Monaco Grand Prix,0 days 01:49:55.371000,0.1477272727272727,
548,NOR,mclaren,10.0,9.0,6599432000000.0,Lapped,Monaco Grand Prix,0 days 01:49:59.432000,0.1477272727272727,
549,PIA,mclaren,11.0,10.0,6609330000000.0,Lapped,Monaco Grand Prix,0 days 01:50:09.330000,0.1477272727272727,
550,BOT,sauber,15.0,11.0,6624334000000.0,Lapped,Monaco Grand Prix,0 days 01:50:24.334000,0.1477272727272727,
551,DEV,rb,12.0,12.0,6652688000000.0,Lapped,Monaco Grand Prix,0 days 01:50:52.688000,0.1477272727272727,
552,ZHO,sauber,19.0,13.0,6667223000000.0,Lapped,Monaco Grand Prix,0 days 01:51:07.223000,0.1477272727272727,
553,ALB,williams,13.0,14.0,6674581000000.0,Lapped,Monaco Grand Prix,0 days 01:51:14.581000,0.1477272727272727,
554,TSU,rb,9.0,15.0,6682126000000.0,Lapped,Monaco Grand Prix,0 days 01:51:22.126000,0.1477272727272727,
555,PER,red_bull,20.0,16.0,6723605000000.0,Lapped,Monaco Grand Prix,0 days 01:52:03.605000,0.1477272727272727,
556,HUL,haas,18.0,17.0,6733087000000.0,Lapped,Monaco Grand Prix,0 days 01:52:13.087000,0.1477272727272727,
557,SAR,williams,16.0,18.0,6752564000000.0,Lapped,Monaco Grand Prix,0 days 01:52:32.564000,0.1477272727272727,
558,MAG,haas,17.0,19.0,,Finished,Monaco Grand Prix,,0.1477272727272727,
559,STR,aston_martin,14.0,20.0,,Retired,Monaco Grand Prix,,0.1477272727272727,
560,VER,red_bull,1.0,1.0,5277940000000.0,Finished,Spanish Grand Prix,0 days 01:27:57.940000,0.0,
561,HAM,mercedes,4.0,2.0,5302030000000.0,Finished,Spanish Grand Prix,0 days 01:28:22.030000,0.0,
562,RUS,mercedes,12.0,3.0,5310329000000.0,Finished,Spanish Grand Prix,0 days 01:28:30.329000,0.0,
563,PER,red_bull,11.0,4.0,5313752000000.0,Finished,Spanish Grand Prix,0 days 01:28:33.752000,0.0,
564,SAI,ferrari,2.0,5.0,5323638000000.0,Finished,Spanish Grand Prix,0 days 01:28:43.638000,0.0,
565,STR,aston_martin,5.0,6.0,5341260000000.0,Finished,Spanish Grand Prix,0 days 01:29:01.260000,0.0,
566,ALO,aston_martin,8.0,7.0,5342067000000.0,Finished,Spanish Grand Prix,0 days 01:29:02.067000,0.0,
567,OCO,alpine,6.0,8.0,5347182000000.0,Finished,Spanish Grand Prix,0 days 01:29:07.182000,0.0,
568,ZHO,sauber,13.0,9.0,5349818000000.0,Finished,Spanish Grand Prix,0 days 01:29:09.818000,0.0,
569,GAS,alpine,10.0,10.0,5351470000000.0,Finished,Spanish Grand Prix,0 days 01:29:11.470000,0.0,
570,LEC,ferrari,19.0,11.0,5352359000000.0,Finished,Spanish Grand Prix,0 days 01:29:12.359000,0.0,
571,TSU,rb,15.0,12.0,5353356000000.0,Finished,Spanish Grand Prix,0 days 01:29:13.356000,0.0,
572,PIA,mclaren,9.0,13.0,5357631000000.0,Lapped,Spanish Grand Prix,0 days 01:29:17.631000,0.0,
573,DEV,rb,14.0,14.0,5358683000000.0,Lapped,Spanish Grand Prix,0 days 01:29:18.683000,0.0,
574,HUL,haas,7.0,15.0,5370653000000.0,Lapped,Spanish Grand Prix,0 days 01:29:30.653000,0.0,
575,ALB,williams,18.0,16.0,5381064000000.0,Lapped,Spanish Grand Prix,0 days 01:29:41.064000,0.0,
576,NOR,mclaren,3.0,17.0,5383746000000.0,Lapped,Spanish Grand Prix,0 days 01:29:43.746000,0.0,
577,MAG,haas,17.0,18.0,5391436000000.0,Lapped,Spanish Grand Prix,0 days 01:29:51.436000,0.0,
578,BOT,sauber,16.0,19.0,5403299000000.0,Lapped,Spanish Grand Prix,0 days 01:30:03.299000,0.0,
579,SAR,williams,20.0,20.0,5405033000000.0,Lapped,Spanish Grand Prix,0 days 01:30:05.033000,0.0,
580,VER,red_bull,1.0,1.0,5638348000000.0,Finished,Canadian Grand Prix,0 days 01:33:58.348000,0.0,
581,ALO,aston_martin,2.0,2.0,5647918000000.0,Finished,Canadian Grand Prix,0 days 01:34:07.918000,0.0,
582,HAM,mercedes,3.0,3.0,5652516000000.0,Finished,Canadian Grand Prix,0 days 01:34:12.516000,0.0,
583,LEC,ferrari,10.0,4.0,5656996000000.0,Finished,Canadian Grand Prix,0 days 01:34:16.996000,0.0,
584,SAI,ferrari,11.0,5.0,5659888000000.0,Finished,Canadian Grand Prix,0 days 01:34:19.888000,0.0,
585,PER,red_bull,12.0,6.0,5689376000000.0,Finished,Canadian Grand Prix,0 days 01:34:49.376000,0.0,
586,ALB,williams,9.0,7.0,5699161000000.0,Finished,Canadian Grand Prix,0 days 01:34:59.161000,0.0,
587,OCO,alpine,6.0,8.0,5700040000000.0,Finished,Canadian Grand Prix,0 days 01:35:00.040000,0.0,
588,STR,aston_martin,16.0,9.0,5702750000000.0,Finished,Canadian Grand Prix,0 days 01:35:02.750000,0.0,
589,BOT,sauber,14.0,10.0,5702780000000.0,Finished,Canadian Grand Prix,0 days 01:35:02.780000,0.0,
590,PIA,mclaren,8.0,11.0,5703449000000.0,Finished,Canadian Grand Prix,0 days 01:35:03.449000,0.0,
591,GAS,alpine,15.0,12.0,5703597000000.0,Finished,Canadian Grand Prix,0 days 01:35:03.597000,0.0,
592,NOR,mclaren,7.0,13.0,5706711000000.0,Finished,Canadian Grand Prix,0 days 01:35:06.711000,0.0,
593,TSU,rb,19.0,14.0,5711771000000.0,Finished,Canadian Grand Prix,0 days 01:35:11.771000,0.0,
594,HUL,haas,5.0,15.0,5728714000000.0,Lapped,Canadian Grand Prix,0 days 01:35:28.714000,0.0,
595,ZHO,sauber,20.0,16.0,5729148000000.0,Lapped,Canadian Grand Prix,0 days 01:35:29.148000,0.0,
596,MAG,haas,13.0,17.0,5782030000000.0,Lapped,Canadian Grand Prix,0 days 01:36:22.030000,0.0,
597,DEV,rb,17.0,18.0,5786738000000.0,Lapped,Canadian Grand Prix,0 days 01:36:26.738000,0.0,
598,RUS,mercedes,4.0,19.0,,Retired,Canadian Grand Prix,,0.0,
599,SAR,williams,18.0,20.0,,Retired,Canadian Grand Prix,,0.0,
600,VER,red_bull,1.0,1.0,5133607000000.0,Finished,Austrian Grand Prix,0 days 01:25:33.607000,0.0196078431372549,
601,LEC,ferrari,2.0,2.0,5138762000000.0,Finished,Austrian Grand Prix,0 days 01:25:38.762000,0.0196078431372549,
602,PER,red_bull,15.0,3.0,5150795000000.0,Finished,Austrian Grand Prix,0 days 01:25:50.795000,0.0196078431372549,
603,NOR,mclaren,4.0,4.0,5159934000000.0,Finished,Austrian Grand Prix,0 days 01:25:59.934000,0.0196078431372549,
604,ALO,aston_martin,7.0,5.0,5163924000000.0,Finished,Austrian Grand Prix,0 days 01:26:03.924000,0.0196078431372549,
605,SAI,ferrari,3.0,6.0,5164984000000.0,Finished,Austrian Grand Prix,0 days 01:26:04.984000,0.0196078431372549,
606,RUS,mercedes,11.0,7.0,5182010000000.0,Finished,Austrian Grand Prix,0 days 01:26:22.010000,0.0196078431372549,
607,HAM,mercedes,5.0,8.0,5182803000000.0,Finished,Austrian Grand Prix,0 days 01:26:22.803000,0.0196078431372549,
608,STR,aston_martin,6.0,9.0,5192650000000.0,Finished,Austrian Grand Prix,0 days 01:26:32.650000,0.0196078431372549,
609,GAS,alpine,9.0,10.0,5201274000000.0,Finished,Austrian Grand Prix,0 days 01:26:41.274000,0.0196078431372549,
610,ALB,williams,10.0,11.0,5213374000000.0,Finished,Austrian Grand Prix,0 days 01:26:53.374000,0.0196078431372549,
611,ZHO,sauber,17.0,12.0,5238007000000.0,Lapped,Austrian Grand Prix,0 days 01:27:18.007000,0.0196078431372549,
612,SAR,williams,18.0,13.0,5244758000000.0,Lapped,Austrian Grand Prix,0 days 01:27:24.758000,0.0196078431372549,
613,OCO,alpine,12.0,14.0,5255514000000.0,Lapped,Austrian Grand Prix,0 days 01:27:35.514000,0.0196078431372549,
614,BOT,sauber,14.0,15.0,5256151000000.0,Lapped,Austrian Grand Prix,0 days 01:27:36.151000,0.0196078431372549,
615,PIA,mclaren,13.0,16.0,5259943000000.0,Lapped,Austrian Grand Prix,0 days 01:27:39.943000,0.0196078431372549,
616,DEV,rb,20.0,17.0,5263077000000.0,Lapped,Austrian Grand Prix,0 days 01:27:43.077000,0.0196078431372549,
617,MAG,haas,19.0,18.0,5270027000000.0,Lapped,Austrian Grand Prix,0 days 01:27:50.027000,0.0196078431372549,
618,TSU,rb,16.0,19.0,5273247000000.0,Lapped,Austrian Grand Prix,0 days 01:27:53.247000,0.0196078431372549,
619,HUL,haas,8.0,20.0,,Retired,Austrian Grand Prix,,0.0196078431372549,
620,VER,red_bull,1.0,1.0,5116938000000.0,Finished,British Grand Prix,0 days 01:25:16.938000,0.0,
621,NOR,mclaren,2.0,2.0,5120736000000.0,Finished,British Grand Prix,0 days 01:25:20.736000,0.0,
622,HAM,mercedes,7.0,3.0,5123721000000.0,Finished,British Grand Prix,0 days 01:25:23.721000,0.0,
623,PIA,mclaren,3.0,4.0,5124714000000.0,Finished,British Grand Prix,0 days 01:25:24.714000,0.0,
624,RUS,mercedes,6.0,5.0,5128144000000.0,Finished,British Grand Prix,0 days 01:25:28.144000,0.0,
625,PER,red_bull,15.0,6.0,5129820000000.0,Finished,British Grand Prix,0 days 01:25:29.820000,0.0,
626,ALO,aston_martin,9.0,7.0,5134131000000.0,Finished,British Grand Prix,0 days 01:25:34.131000,0.0,
627,ALB,williams,8.0,8.0,5134816000000.0,Finished,British Grand Prix,0 days 01:25:34.816000,0.0,
628,LEC,ferrari,4.0,9.0,5135627000000.0,Finished,British Grand Prix,0 days 01:25:35.627000,0.0,
629,SAI,ferrari,5.0,10.0,5136386000000.0,Finished,British Grand Prix,0 days 01:25:36.386000,0.0,
630,SAR,williams,14.0,11.0,5140570000000.0,Finished,British Grand Prix,0 days 01:25:40.570000,0.0,
631,BOT,sauber,20.0,12.0,5142768000000.0,Finished,British Grand Prix,0 days 01:25:42.768000,0.0,
632,HUL,haas,11.0,13.0,5143601000000.0,Finished,British Grand Prix,0 days 01:25:43.601000,0.0,
633,STR,aston_martin,12.0,14.0,5144421000000.0,Finished,British Grand Prix,0 days 01:25:44.421000,0.0,
634,ZHO,sauber,17.0,15.0,5146758000000.0,Finished,British Grand Prix,0 days 01:25:46.758000,0.0,
635,TSU,rb,16.0,16.0,5148163000000.0,Finished,British Grand Prix,0 days 01:25:48.163000,0.0,
636,DEV,rb,18.0,17.0,5150066000000.0,Finished,British Grand Prix,0 days 01:25:50.066000,0.0,
637,GAS,alpine,10.0,18.0,,Finished,British Grand Prix,,0.0,
638,MAG,haas,19.0,19.0,,Retired,British Grand Prix,,0.0,
639,OCO,alpine,13.0,20.0,,Retired,British Grand Prix,,0.0,
640,VER,red_bull,2.0,1.0,5888634000000.0,Finished,Hungarian Grand Prix,0 days 01:38:08.634000,0.0,
641,NOR,mclaren,3.0,2.0,5922365000000.0,Finished,Hungarian Grand Prix,0 days 01:38:42.365000,0.0,
642,PER,red_bull,9.0,3.0,5926237000000.0,Finished,Hungarian Grand Prix,0 days 01:38:46.237000,0.0,
643,HAM,mercedes,1.0,4.0,5927768000000.0,Finished,Hungarian Grand Prix,0 days 01:38:47.768000,0.0,
644,PIA,mclaren,4.0,5.0,5951206000000.0,Finished,Hungarian Grand Prix,0 days 01:39:11.206000,0.0,
645,RUS,mercedes,18.0,6.0,5954459000000.0,Finished,Hungarian Grand Prix,0 days 01:39:14.459000,0.0,
646,LEC,ferrari,6.0,7.0,5958951000000.0,Finished,Hungarian Grand Prix,0 days 01:39:18.951000,0.0,
647,SAI,ferrari,11.0,8.0,5959707000000.0,Finished,Hungarian Grand Prix,0 days 01:39:19.707000,0.0,
648,ALO,aston_martin,8.0,9.0,5964343000000.0,Finished,Hungarian Grand Prix,0 days 01:39:24.343000,0.0,
649,STR,aston_martin,14.0,10.0,5978958000000.0,Lapped,Hungarian Grand Prix,0 days 01:39:38.958000,0.0,
650,ALB,williams,16.0,11.0,5993430000000.0,Lapped,Hungarian Grand Prix,0 days 01:39:53.430000,0.0,
651,BOT,sauber,7.0,12.0,5994422000000.0,Lapped,Hungarian Grand Prix,0 days 01:39:54.422000,0.0,
652,RIC,rb,13.0,13.0,6000600000000.0,Lapped,Hungarian Grand Prix,0 days 01:40:00.600000,0.0,
653,HUL,haas,10.0,14.0,6015641000000.0,Lapped,Hungarian Grand Prix,0 days 01:40:15.641000,0.0,
654,TSU,rb,17.0,15.0,6015886000000.0,Lapped,Hungarian Grand Prix,0 days 01:40:15.886000,0.0,
655,ZHO,sauber,5.0,16.0,6024834000000.0,Lapped,Hungarian Grand Prix,0 days 01:40:24.834000,0.0,
656,MAG,haas,19.0,17.0,6046694000000.0,Lapped,Hungarian Grand Prix,0 days 01:40:46.694000,0.0,
657,SAR,williams,20.0,18.0,,Finished,Hungarian Grand Prix,,0.0,
658,OCO,alpine,12.0,19.0,,Retired,Hungarian Grand Prix,,0.0,
659,GAS,alpine,15.0,20.0,,Retired,Hungarian Grand Prix,,0.0,
660,VER,red_bull,6.0,1.0,4950450000000.0,Finished,Belgian Grand Prix,0 days 01:22:30.450000,0.0733333333333333,
661,PER,red_bull,2.0,2.0,4972755000000.0,Finished,Belgian Grand Prix,0 days 01:22:52.755000,0.0733333333333333,
662,LEC,ferrari,1.0,3.0,4982709000000.0,Finished,Belgian Grand Prix,0 days 01:23:02.709000,0.0733333333333333,
663,HAM,mercedes,3.0,4.0,5000121000000.0,Finished,Belgian Grand Prix,0 days 01:23:20.121000,0.0733333333333333,
664,ALO,aston_martin,9.0,5.0,5006634000000.0,Finished,Belgian Grand Prix,0 days 01:23:26.634000,0.0733333333333333,
665,RUS,mercedes,8.0,6.0,5013551000000.0,Finished,Belgian Grand Prix,0 days 01:23:33.551000,0.0733333333333333,
666,NOR,mclaren,7.0,7.0,5024169000000.0,Finished,Belgian Grand Prix,0 days 01:23:44.169000,0.0733333333333333,
667,OCO,alpine,14.0,8.0,5025169000000.0,Finished,Belgian Grand Prix,0 days 01:23:45.169000,0.0733333333333333,
668,STR,aston_martin,10.0,9.0,5029790000000.0,Finished,Belgian Grand Prix,0 days 01:23:49.790000,0.0733333333333333,
669,TSU,rb,11.0,10.0,5030671000000.0,Finished,Belgian Grand Prix,0 days 01:23:50.671000,0.0733333333333333,
670,GAS,alpine,12.0,11.0,5033534000000.0,Finished,Belgian Grand Prix,0 days 01:23:53.534000,0.0733333333333333,
671,BOT,sauber,13.0,12.0,5035641000000.0,Finished,Belgian Grand Prix,0 days 01:23:55.641000,0.0733333333333333,
672,ZHO,sauber,17.0,13.0,5045891000000.0,Finished,Belgian Grand Prix,0 days 01:24:05.891000,0.0733333333333333,
673,ALB,williams,15.0,14.0,5046634000000.0,Finished,Belgian Grand Prix,0 days 01:24:06.634000,0.0733333333333333,
674,MAG,haas,16.0,15.0,5052204000000.0,Finished,Belgian Grand Prix,0 days 01:24:12.204000,0.0733333333333333,
675,RIC,rb,19.0,16.0,5053521000000.0,Finished,Belgian Grand Prix,0 days 01:24:13.521000,0.0733333333333333,
676,SAR,williams,18.0,17.0,5054926000000.0,Finished,Belgian Grand Prix,0 days 01:24:14.926000,0.0733333333333333,
677,HUL,haas,20.0,18.0,5060900000000.0,Finished,Belgian Grand Prix,0 days 01:24:20.900000,0.0733333333333333,
678,SAI,ferrari,4.0,19.0,,Retired,Belgian Grand Prix,,0.0733333333333333,
679,PIA,mclaren,5.0,20.0,,Retired,Belgian Grand Prix,,0.0733333333333333,
680,VER,red_bull,1.0,1.0,8644411000000.0,Finished,Dutch Grand Prix,0 days 02:24:04.411000,0.2296650717703349,
681,ALO,aston_martin,5.0,2.0,8648155000000.0,Finished,Dutch Grand Prix,0 days 02:24:08.155000,0.2296650717703349,
682,GAS,alpine,12.0,3.0,8651469000000.0,Finished,Dutch Grand Prix,0 days 02:24:11.469000,0.2296650717703349,
683,PER,red_bull,7.0,4.0,8654479000000.0,Finished,Dutch Grand Prix,0 days 02:24:14.479000,0.2296650717703349,
684,SAI,ferrari,6.0,5.0,8656952000000.0,Finished,Dutch Grand Prix,0 days 02:24:16.952000,0.2296650717703349,
685,HAM,mercedes,13.0,6.0,8657620000000.0,Finished,Dutch Grand Prix,0 days 02:24:17.620000,0.2296650717703349,
686,NOR,mclaren,2.0,7.0,8657643000000.0,Finished,Dutch Grand Prix,0 days 02:24:17.643000,0.2296650717703349,
687,ALB,williams,4.0,8.0,8659566000000.0,Finished,Dutch Grand Prix,0 days 02:24:19.566000,0.2296650717703349,
688,PIA,mclaren,8.0,9.0,8660991000000.0,Finished,Dutch Grand Prix,0 days 02:24:20.991000,0.2296650717703349,
689,OCO,alpine,16.0,10.0,8662757000000.0,Finished,Dutch Grand Prix,0 days 02:24:22.757000,0.2296650717703349,
690,STR,aston_martin,11.0,11.0,8664498000000.0,Finished,Dutch Grand Prix,0 days 02:24:24.498000,0.2296650717703349,
691,HUL,haas,14.0,12.0,8665251000000.0,Finished,Dutch Grand Prix,0 days 02:24:25.251000,0.2296650717703349,
692,LAW,rb,19.0,13.0,8670558000000.0,Finished,Dutch Grand Prix,0 days 02:24:30.558000,0.2296650717703349,
693,BOT,sauber,18.0,14.0,8671799000000.0,Finished,Dutch Grand Prix,0 days 02:24:31.799000,0.2296650717703349,
694,TSU,rb,17.0,15.0,8674304000000.0,Finished,Dutch Grand Prix,0 days 02:24:34.304000,0.2296650717703349,
695,MAG,haas,0.0,16.0,8675821000000.0,Finished,Dutch Grand Prix,0 days 02:24:35.821000,0.2296650717703349,
696,RUS,mercedes,3.0,17.0,8700165000000.0,Finished,Dutch Grand Prix,0 days 02:25:00.165000,0.2296650717703349,
697,ZHO,sauber,15.0,18.0,,Accident,Dutch Grand Prix,,0.2296650717703349,
698,LEC,ferrari,9.0,19.0,,Undertray,Dutch Grand Prix,,0.2296650717703349,
699,SAR,williams,10.0,20.0,,Accident,Dutch Grand Prix,,0.2296650717703349,
700,VER,red_bull,2.0,1.0,4421143000000.0,Finished,Italian Grand Prix,0 days 01:13:41.143000,0.0,
701,PER,red_bull,5.0,2.0,4427207000000.0,Finished,Italian Grand Prix,0 days 01:13:47.207000,0.0,
702,SAI,ferrari,1.0,3.0,4432336000000.0,Finished,Italian Grand Prix,0 days 01:13:52.336000,0.0,
703,LEC,ferrari,3.0,4.0,4432520000000.0,Finished,Italian Grand Prix,0 days 01:13:52.520000,0.0,
704,RUS,mercedes,4.0,5.0,4444171000000.0,Finished,Italian Grand Prix,0 days 01:14:04.171000,0.0,
705,HAM,mercedes,8.0,6.0,4463822000000.0,Finished,Italian Grand Prix,0 days 01:14:23.822000,0.0,
706,ALB,williams,6.0,7.0,4466249000000.0,Finished,Italian Grand Prix,0 days 01:14:26.249000,0.0,
707,NOR,mclaren,9.0,8.0,4466592000000.0,Finished,Italian Grand Prix,0 days 01:14:26.592000,0.0,
708,ALO,aston_martin,10.0,9.0,4467437000000.0,Finished,Italian Grand Prix,0 days 01:14:27.437000,0.0,
709,BOT,sauber,14.0,10.0,4485199000000.0,Finished,Italian Grand Prix,0 days 01:14:45.199000,0.0,
710,LAW,rb,12.0,11.0,4491781000000.0,Finished,Italian Grand Prix,0 days 01:14:51.781000,0.0,
711,PIA,mclaren,7.0,12.0,4494217000000.0,Finished,Italian Grand Prix,0 days 01:14:54.217000,0.0,
712,SAR,williams,15.0,13.0,4499700000000.0,Finished,Italian Grand Prix,0 days 01:14:59.700000,0.0,
713,ZHO,sauber,16.0,14.0,4501307000000.0,Finished,Italian Grand Prix,0 days 01:15:01.307000,0.0,
714,GAS,alpine,17.0,15.0,4503653000000.0,Finished,Italian Grand Prix,0 days 01:15:03.653000,0.0,
715,STR,aston_martin,20.0,16.0,4508409000000.0,Finished,Italian Grand Prix,0 days 01:15:08.409000,0.0,
716,HUL,haas,13.0,17.0,4510502000000.0,Lapped,Italian Grand Prix,0 days 01:15:10.502000,0.0,
717,MAG,haas,19.0,18.0,4521033000000.0,Lapped,Italian Grand Prix,0 days 01:15:21.033000,0.0,
718,OCO,alpine,18.0,19.0,,Retired,Italian Grand Prix,,0.0,
719,TSU,rb,11.0,20.0,,Did not start,Italian Grand Prix,,0.0,
720,SAI,ferrari,1.0,1.0,6397418000000.0,Finished,Singapore Grand Prix,0 days 01:46:37.418000,0.0,
721,NOR,mclaren,4.0,2.0,6398230000000.0,Finished,Singapore Grand Prix,0 days 01:46:38.230000,0.0,
722,HAM,mercedes,5.0,3.0,6398687000000.0,Finished,Singapore Grand Prix,0 days 01:46:38.687000,0.0,
723,LEC,ferrari,3.0,4.0,6418595000000.0,Finished,Singapore Grand Prix,0 days 01:46:58.595000,0.0,
724,VER,red_bull,11.0,5.0,6418859000000.0,Finished,Singapore Grand Prix,0 days 01:46:58.859000,0.0,
725,GAS,alpine,12.0,6.0,6435859000000.0,Finished,Singapore Grand Prix,0 days 01:47:15.859000,0.0,
726,PIA,mclaren,17.0,7.0,6438897000000.0,Finished,Singapore Grand Prix,0 days 01:47:18.897000,0.0,
727,PER,red_bull,13.0,8.0,6456952000000.0,Finished,Singapore Grand Prix,0 days 01:47:36.952000,0.0,
728,LAW,rb,10.0,9.0,6463336000000.0,Finished,Singapore Grand Prix,0 days 01:47:43.336000,0.0,
729,MAG,haas,6.0,10.0,6469534000000.0,Finished,Singapore Grand Prix,0 days 01:47:49.534000,0.0,
730,ALB,williams,14.0,11.0,6470835000000.0,Finished,Singapore Grand Prix,0 days 01:47:50.835000,0.0,
731,ZHO,sauber,19.0,12.0,6481067000000.0,Finished,Singapore Grand Prix,0 days 01:48:01.067000,0.0,
732,HUL,haas,9.0,13.0,6483619000000.0,Finished,Singapore Grand Prix,0 days 01:48:03.619000,0.0,
733,SAR,williams,18.0,14.0,6484307000000.0,Finished,Singapore Grand Prix,0 days 01:48:04.307000,0.0,
734,ALO,aston_martin,7.0,15.0,6485021000000.0,Finished,Singapore Grand Prix,0 days 01:48:05.021000,0.0,
735,RUS,mercedes,2.0,16.0,,Finished,Singapore Grand Prix,,0.0,
736,BOT,sauber,16.0,17.0,,Retired,Singapore Grand Prix,,0.0,
737,OCO,alpine,8.0,18.0,,Retired,Singapore Grand Prix,,0.0,
738,TSU,rb,15.0,19.0,,Retired,Singapore Grand Prix,,0.0,
739,STR,aston_martin,,,,Withdrew,Singapore Grand Prix,,0.0,
740,VER,red_bull,1.0,1.0,5458421000000.0,Finished,Japanese Grand Prix,0 days 01:30:58.421000,0.0,
